	Demographic ID	Demographic Name	Student Group	County Code	District Code	School Code	Grade	Percentage Standard Exceeded	Percentage Standard Met	Percentage Standard Nearly Met	Percentage Standard Not Met	Total Number of Students with Valid Scores	Life Sciences Domain Percent Below Standard	Life Sciences Domain Percent Near Standard	Life Sciences Domain Percent Above Standard	Physical Sciences Domain Percent Below Standard	Physical Sciences Domain Percent Near Standard	Physical Sciences Domain Percent Above Standard	Earth and Space Sciences Domain Percent Below Standard	Earth and Space Sciences Domain Percent Near Standard	Earth and Space Sciences Domain Percent Above Standard	County Name	District Name	School Name	Zip Code	Median
26	1	All Students	All Students	9	61903	937805	13	3.9	18.83	57.14	20.13	462.0	43.94	50.0	6.06	59.09	34.85	6.06	47.84	44.37	7.79	El Dorado	Lake Tahoe Unified	South Tahoe High	96150	1373866.5
27	1	All Students	All Students	9	61903	6005540	5	12.87	15.84	56.44	14.85	101.0	51.49	34.65	13.86	51.49	39.6	8.91	50.5	38.61	10.89	El Dorado	Lake Tahoe Unified	Bijou Community	96150	1373866.5
28	1	All Students	All Students	9	61903	6005540	13	12.87	15.84	56.44	14.85	101.0	51.49	34.65	13.86	51.49	39.6	8.91	50.5	38.61	10.89	El Dorado	Lake Tahoe Unified	Bijou Community	96150	1373866.5
29	1	All Students	All Students	9	61903	6005565	8	8.45	18.31	59.15	14.08	284.0	39.93	49.47	10.6	43.82	46.64	9.54	41.34	47.0	11.66	El Dorado	Lake Tahoe Unified	South Tahoe Middle	96150	1373866.5
30	1	All Students	All Students	9	61903	6005565	13	8.45	18.31	59.15	14.08	284.0	39.93	49.47	10.6	43.82	46.64	9.54	41.34	47.0	11.66	El Dorado	Lake Tahoe Unified	South Tahoe Middle	96150	1373866.5
31	1	All Students	All Students	9	61903	6005573	5	0.0	20.37	62.96	16.67	54.0	51.85	44.44	3.7	51.85	48.15	0.0	35.19	61.11	3.7	El Dorado	Lake Tahoe Unified	Tahoe Valley Elementary	96150	1373866.5
32	1	All Students	All Students	9	61903	6005573	13	0.0	20.37	62.96	16.67	54.0	51.85	44.44	3.7	51.85	48.15	0.0	35.19	61.11	3.7	El Dorado	Lake Tahoe Unified	Tahoe Valley Elementary	96150	1373866.5
33	1	All Students	All Students	9	61903	6095301	5	6.82	22.73	56.82	13.64	88.0	43.18	51.14	5.68	38.64	51.14	10.23	42.05	47.73	10.23	El Dorado	Lake Tahoe Unified	Sierra House Elementary	96150	1373866.5
34	1	All Students	All Students	9	61903	6095301	13	6.82	22.73	56.82	13.64	88.0	43.18	51.14	5.68	38.64	51.14	10.23	42.05	47.73	10.23	El Dorado	Lake Tahoe Unified	Sierra House Elementary	96150	1373866.5
35	1	All Students	All Students	11	10116	124909	5	8.7	0.0	60.87	30.43	23.0	56.52	34.78	8.7	60.87	39.13	0.0	60.87	30.43	8.7	Glenn	Walden Academy	Walden Academy	95988	708793.0
37	1	All Students	All Students	11	10116	124909	13	6.06	3.03	69.7	21.21	33.0	60.61	33.33	6.06	60.61	36.36	3.03	54.55	39.39	6.06	Glenn	Walden Academy	Walden Academy	95988	708793.0
38	1	All Students	All Students	11	10116	130724	12	0.0	2.63	55.26	42.11	38.0	76.32	23.68	0.0	75.68	24.32	0.0	64.86	35.14	0.0	Glenn	Glenn County Office of Education	Success One!	95988	708793.0
39	1	All Students	All Students	11	10116	130724	13	0.0	2.63	55.26	42.11	38.0	76.32	23.68	0.0	75.68	24.32	0.0	64.86	35.14	0.0	Glenn	Glenn County Office of Education	Success One!	95988	708793.0
43	1	All Students	All Students	11	62661	1130038	11	0.0	0.0	33.33	66.67	12.0	83.33	16.67	0.0	91.67	8.33	0.0	91.67	8.33	0.0	Glenn	Willows Unified	Willows Community High	95988	708793.0
45	1	All Students	All Students	11	62661	1130038	13	0.0	6.67	40.0	53.33	15.0	66.67	33.33	0.0	86.67	13.33	0.0	80.0	20.0	0.0	Glenn	Willows Unified	Willows Community High	95988	708793.0
46	1	All Students	All Students	11	62661	1132851	11	0.89	16.96	58.93	23.21	112.0	53.57	44.64	1.79	58.04	33.93	8.04	44.64	46.43	8.93	Glenn	Willows Unified	Willows High	95988	708793.0
47	1	All Students	All Students	11	62661	1132851	12	0.0	12.24	61.22	26.53	98.0	55.1	43.88	1.02	65.31	32.65	2.04	53.06	38.78	8.16	Glenn	Willows Unified	Willows High	95988	708793.0
48	1	All Students	All Students	11	62661	1132851	13	0.48	14.76	60.0	24.76	210.0	54.29	44.29	1.43	61.43	33.33	5.24	48.57	42.86	8.57	Glenn	Willows Unified	Willows High	95988	708793.0
49	1	All Students	All Students	11	62661	6007603	5	9.8	10.78	58.82	20.59	102.0	49.02	42.16	8.82	56.86	33.33	9.8	50.0	39.22	10.78	Glenn	Willows Unified	Murdock Elementary	95988	708793.0
50	1	All Students	All Students	11	62661	6007603	13	9.8	10.78	58.82	20.59	102.0	49.02	42.16	8.82	56.86	33.33	9.8	50.0	39.22	10.78	Glenn	Willows Unified	Murdock Elementary	95988	708793.0
51	1	All Students	All Students	11	62661	6007611	8	2.31	10.0	50.0	37.69	130.0	63.85	32.31	3.85	69.23	29.23	1.54	63.85	30.77	5.38	Glenn	Willows Unified	Willows Intermediate	95988	708793.0
52	1	All Students	All Students	11	62661	6007611	13	2.31	10.0	50.0	37.69	130.0	63.85	32.31	3.85	69.23	29.23	1.54	63.85	30.77	5.38	Glenn	Willows Unified	Willows Intermediate	95988	708793.0
54	1	All Students	All Students	18	64089	1831601	12	0.0	21.05	73.68	5.26	19.0	47.37	52.63	0.0	73.68	26.32	0.0	42.11	47.37	10.53	Lassen	Big Valley Joint Unified	Big Valley Jr. Sr. High	96009	863847.5
55	1	All Students	All Students	18	64089	1831601	13	0.0	24.14	68.97	6.9	29.0	41.38	55.17	3.45	62.07	37.93	0.0	34.48	55.17	10.34	Lassen	Big Valley Joint Unified	Big Valley Jr. Sr. High	96009	863847.5
58	1	All Students	All Students	18	64162	6010763	5	16.67	25.0	45.83	12.5	24.0	37.5	45.83	16.67	33.33	45.83	20.83	25.0	66.67	8.33	Lassen	Long Valley Charter	Long Valley Charter	96109	1745121.5
59	1	All Students	All Students	18	64162	6010763	8	0.0	18.75	75.0	6.25	16.0	18.75	81.25	0.0	25.0	75.0	0.0	25.0	68.75	6.25	Lassen	Long Valley Charter	Long Valley Charter	96109	1745121.5
60	1	All Students	All Students	18	64162	6010763	11	0.0	35.71	57.14	7.14	14.0	28.57	71.43	0.0	42.86	57.14	0.0	28.57	64.29	7.14	Lassen	Long Valley Charter	Long Valley Charter	96109	1745121.5
62	1	All Students	All Students	18	64162	6010763	13	7.27	27.27	56.36	9.09	55.0	29.09	63.64	7.27	32.73	58.18	9.09	25.45	67.27	7.27	Lassen	Long Valley Charter	Long Valley Charter	96109	1745121.5
63	1	All Students	All Students	18	64188	6010805	5	4.76	19.05	57.14	19.05	21.0	52.38	47.62	0.0	52.38	38.1	9.52	47.62	42.86	9.52	Lassen	Shaffer Union Elementary	Shaffer Elementary	96117	2420216.0
64	1	All Students	All Students	18	64188	6010805	8	8.7	26.09	60.87	4.35	23.0	30.43	60.87	8.7	30.43	52.17	17.39	47.83	39.13	13.04	Lassen	Shaffer Union Elementary	Shaffer Elementary	96117	2420216.0
65	1	All Students	All Students	18	64188	6010805	13	6.82	22.73	59.09	11.36	44.0	40.91	54.55	4.55	40.91	45.45	13.64	47.73	40.91	11.36	Lassen	Shaffer Union Elementary	Shaffer Elementary	96117	2420216.0
66	1	All Students	All Students	18	64204	1838507	8	0.0	18.18	63.64	18.18	11.0	45.45	54.55	0.0	45.45	45.45	9.09	45.45	45.45	9.09	Lassen	Westwood Unified	Westwood High	96137	610199.5
69	1	All Students	All Students	18	64204	1838507	13	5.0	15.0	60.0	20.0	20.0	45.0	50.0	5.0	55.0	35.0	10.0	45.0	40.0	15.0	Lassen	Westwood Unified	Westwood High	96137	610199.5
70	1	All Students	All Students	18	64204	6010847	5	0.0	33.33	58.33	8.33	12.0	33.33	58.33	8.33	16.67	75.0	8.33	41.67	58.33	0.0	Lassen	Westwood Unified	Fletcher Walker Elementary	96137	610199.5
71	1	All Students	All Students	18	64204	6010847	13	0.0	33.33	58.33	8.33	12.0	33.33	58.33	8.33	16.67	75.0	8.33	41.67	58.33	0.0	Lassen	Westwood Unified	Fletcher Walker Elementary	96137	610199.5
73	1	All Students	All Students	18	75036	121657	8	7.14	0.0	71.43	21.43	14.0	57.14	35.71	7.14	57.14	35.71	7.14	64.29	28.57	7.14	Lassen	Fort Sage Unified	Mt. Lassen Charter	96113	442908.5
74	1	All Students	All Students	18	75036	121657	12	0.0	36.36	63.64	0.0	11.0	36.36	63.64	0.0	9.09	90.91	0.0	9.09	63.64	27.27	Lassen	Fort Sage Unified	Mt. Lassen Charter	96113	442908.5
75	1	All Students	All Students	18	75036	121657	13	5.71	22.86	62.86	8.57	35.0	42.86	54.29	2.86	34.29	54.29	11.43	37.14	48.57	14.29	Lassen	Fort Sage Unified	Mt. Lassen Charter	96113	442908.5
81	1	All Students	All Students	18	75036	6096341	5	0.0	0.0	81.82	18.18	11.0	45.45	54.55	0.0	90.91	9.09	0.0	54.55	45.45	0.0	Lassen	Fort Sage Unified	Sierra Primary	96113	442908.5
82	1	All Students	All Students	18	75036	6096341	13	0.0	0.0	81.82	18.18	11.0	45.45	54.55	0.0	90.91	9.09	0.0	54.55	45.45	0.0	Lassen	Fort Sage Unified	Sierra Primary	96113	442908.5
85	1	All Students	All Students	25	65896	2537702	13	15.38	7.69	53.85	23.08	13.0	46.15	46.15	7.69	30.77	53.85	15.38	30.77	53.85	15.38	Modoc	Surprise Valley Joint Unified	Surprise Valley High	96104	523407.5
86	1	All Students	All Students	25	65896	6025902	5	16.67	25.0	58.33	0.0	12.0	33.33	58.33	8.33	41.67	33.33	25.0	33.33	50.0	16.67	Modoc	Surprise Valley Joint Unified	Surprise Valley Elementary	96104	523407.5
87	1	All Students	All Students	25	65896	6025902	13	16.67	25.0	58.33	0.0	12.0	33.33	58.33	8.33	41.67	33.33	25.0	33.33	50.0	16.67	Modoc	Surprise Valley Joint Unified	Surprise Valley Elementary	96104	523407.5
92	1	All Students	All Students	25	73585	2535409	12	2.0	12.0	52.0	34.0	50.0	64.0	30.0	6.0	76.0	20.0	4.0	48.0	48.0	4.0	Modoc	Modoc Joint Unified	Modoc High	96101	596293.5
93	1	All Students	All Students	25	73585	2535409	13	2.0	12.0	52.0	34.0	50.0	64.0	30.0	6.0	76.0	20.0	4.0	48.0	48.0	4.0	Modoc	Modoc Joint Unified	Modoc High	96101	596293.5
94	1	All Students	All Students	25	73585	6025845	5	2.99	13.43	68.66	14.93	67.0	50.75	43.28	5.97	49.25	43.28	7.46	46.27	50.75	2.99	Modoc	Modoc Joint Unified	Alturas Elementary	96101	596293.5
95	1	All Students	All Students	25	73585	6025845	13	2.99	13.43	68.66	14.93	67.0	50.75	43.28	5.97	49.25	43.28	7.46	46.27	50.75	2.99	Modoc	Modoc Joint Unified	Alturas Elementary	96101	596293.5
96	1	All Students	All Students	25	73585	6058697	8	6.67	20.0	66.67	6.67	45.0	28.89	57.78	13.33	46.67	42.22	11.11	33.33	53.33	13.33	Modoc	Modoc Joint Unified	Modoc Middle	96101	596293.5
97	1	All Students	All Students	25	73585	6058697	13	6.67	20.0	66.67	6.67	45.0	28.89	57.78	13.33	46.67	42.22	11.11	33.33	53.33	13.33	Modoc	Modoc Joint Unified	Modoc Middle	96101	596293.5
98	1	All Students	All Students	45	70169	137117	5	10.71	42.86	46.43	0.0	28.0	10.71	60.71	28.57	21.43	60.71	17.86	17.86	78.57	3.57	Shasta	New Day Academy	New Day Academy	96101	596293.5
99	1	All Students	All Students	45	70169	137117	8	3.13	34.38	59.38	3.13	32.0	9.38	81.25	9.38	25.0	71.88	3.13	28.13	65.63	6.25	Shasta	New Day Academy	New Day Academy	96101	596293.5
100	1	All Students	All Students	45	70169	137117	10	0.0	40.0	60.0	0.0	15.0	13.33	80.0	6.67	20.0	80.0	0.0	13.33	80.0	6.67	Shasta	New Day Academy	New Day Academy	96101	596293.5
101	1	All Students	All Students	45	70169	137117	11	5.26	26.32	63.16	5.26	19.0	15.79	73.68	10.53	31.58	63.16	5.26	15.79	68.42	15.79	Shasta	New Day Academy	New Day Academy	96101	596293.5
103	1	All Students	All Students	45	70169	137117	13	6.0	35.0	57.0	2.0	100.0	12.0	73.0	15.0	25.0	68.0	7.0	20.0	72.0	8.0	Shasta	New Day Academy	New Day Academy	96101	596293.5
106	1	All Students	All Students	25	73593	4737250	8	8.0	8.0	64.0	20.0	25.0	24.0	68.0	8.0	52.0	40.0	8.0	48.0	40.0	12.0	Modoc	Tulelake Basin Joint Unified	Tulelake High	96134	568034.0
107	1	All Students	All Students	25	73593	4737250	12	0.0	24.0	68.0	8.0	25.0	44.0	48.0	8.0	44.0	56.0	0.0	36.0	64.0	0.0	Modoc	Tulelake Basin Joint Unified	Tulelake High	96134	568034.0
108	1	All Students	All Students	25	73593	4737250	13	4.0	16.0	66.0	14.0	50.0	34.0	58.0	8.0	48.0	48.0	4.0	42.0	52.0	6.0	Modoc	Tulelake Basin Joint Unified	Tulelake High	96134	568034.0
109	1	All Students	All Students	25	73593	6025894	5	4.76	7.14	71.43	16.67	42.0	61.9	28.57	9.52	69.05	26.19	4.76	59.52	38.1	2.38	Modoc	Tulelake Basin Joint Unified	Tulelake Basin Elementary	96134	568034.0
110	1	All Students	All Students	25	73593	6025894	13	4.76	7.14	71.43	16.67	42.0	61.9	28.57	9.52	69.05	26.19	4.76	59.52	38.1	2.38	Modoc	Tulelake Basin Joint Unified	Tulelake Basin Elementary	96134	568034.0
114	1	All Students	All Students	26	73668	2633006	11	11.76	47.06	29.41	11.76	17.0	17.65	64.71	17.65	11.76	52.94	35.29	29.41	52.94	17.65	Mono	Eastern Sierra Unified	Coleville High	96107	654427.5
116	1	All Students	All Students	26	73668	2633006	13	11.76	47.06	29.41	11.76	17.0	17.65	64.71	17.65	11.76	52.94	35.29	29.41	52.94	17.65	Mono	Eastern Sierra Unified	Coleville High	96107	654427.5
117	1	All Students	All Students	26	73668	6025910	5	21.43	21.43	50.0	7.14	14.0	35.71	42.86	21.43	35.71	42.86	21.43	35.71	57.14	7.14	Mono	Eastern Sierra Unified	Antelope Elementary	96107	654427.5
118	1	All Students	All Students	26	73668	6025910	8	8.33	25.0	66.67	0.0	12.0	33.33	58.33	8.33	25.0	58.33	16.67	25.0	66.67	8.33	Mono	Eastern Sierra Unified	Antelope Elementary	96107	654427.5
119	1	All Students	All Students	26	73668	6025910	13	15.38	23.08	57.69	3.85	26.0	34.62	50.0	15.38	30.77	50.0	19.23	30.77	61.54	7.69	Mono	Eastern Sierra Unified	Antelope Elementary	96107	654427.5
123	1	All Students	All Students	31	66944	106807	8	19.77	32.56	41.86	5.81	172.0	23.84	56.98	19.19	22.09	54.65	23.26	23.84	52.91	23.26	Placer	Tahoe-Truckee Unified	Alder Creek Middle	96161	875819.0
124	1	All Students	All Students	31	66944	106807	13	19.77	32.56	41.86	5.81	172.0	23.84	56.98	19.19	22.09	54.65	23.26	23.84	52.91	23.26	Placer	Tahoe-Truckee Unified	Alder Creek Middle	96161	875819.0
125	1	All Students	All Students	31	66944	121624	5	20.0	40.0	40.0	0.0	25.0	12.0	56.0	32.0	12.0	68.0	20.0	12.0	64.0	24.0	Placer	Sierra Expeditionary Learning	Sierra Expeditionary Learning	96161	875819.0
126	1	All Students	All Students	31	66944	121624	8	22.73	31.82	45.45	0.0	22.0	4.55	68.18	27.27	22.73	50.0	27.27	31.82	45.45	22.73	Placer	Sierra Expeditionary Learning	Sierra Expeditionary Learning	96161	875819.0
127	1	All Students	All Students	31	66944	121624	13	21.28	36.17	42.55	0.0	47.0	8.51	61.7	29.79	17.02	59.57	23.4	21.28	55.32	23.4	Placer	Sierra Expeditionary Learning	Sierra Expeditionary Learning	96161	875819.0
130	1	All Students	All Students	31	66944	3130077	12	0.0	4.76	47.62	47.62	21.0	76.19	23.81	0.0	80.95	19.05	0.0	80.95	14.29	4.76	Placer	Tahoe-Truckee Unified	Sierra High (Continuation)	96161	875819.0
131	1	All Students	All Students	31	66944	3130077	13	0.0	4.76	47.62	47.62	21.0	76.19	23.81	0.0	80.95	19.05	0.0	80.95	14.29	4.76	Placer	Tahoe-Truckee Unified	Sierra High (Continuation)	96161	875819.0
134	1	All Students	All Students	31	66944	3138500	10	7.61	28.8	45.11	18.48	184.0	29.35	57.61	13.04	42.39	47.83	9.78	37.5	51.09	11.41	Placer	Tahoe-Truckee Unified	Tahoe Truckee High	96161	875819.0
135	1	All Students	All Students	31	66944	3138500	11	11.46	27.39	54.14	7.01	157.0	26.45	58.71	14.84	38.06	48.39	13.55	28.39	58.71	12.9	Placer	Tahoe-Truckee Unified	Tahoe Truckee High	96161	875819.0
136	1	All Students	All Students	31	66944	3138500	12	7.84	20.26	50.33	21.57	153.0	32.68	56.21	11.11	47.71	43.79	8.5	42.48	45.75	11.76	Placer	Tahoe-Truckee Unified	Tahoe Truckee High	96161	875819.0
137	1	All Students	All Students	31	66944	3138500	13	8.91	25.71	49.6	15.79	494.0	29.47	57.52	13.01	42.68	46.75	10.57	36.18	51.83	11.99	Placer	Tahoe-Truckee Unified	Tahoe Truckee High	96161	875819.0
138	1	All Students	All Students	31	66944	6031298	5	28.57	42.86	28.57	0.0	14.0	14.29	57.14	28.57	14.29	78.57	7.14	14.29	35.71	50.0	Placer	Tahoe-Truckee Unified	Donner Trail Elementary	96161	875819.0
139	1	All Students	All Students	31	66944	6031298	13	28.57	42.86	28.57	0.0	14.0	14.29	57.14	28.57	14.29	78.57	7.14	14.29	35.71	50.0	Placer	Tahoe-Truckee Unified	Donner Trail Elementary	96161	875819.0
140	1	All Students	All Students	31	66944	6031322	5	16.83	15.84	54.46	12.87	101.0	46.53	37.62	15.84	38.61	48.51	12.87	37.62	48.51	13.86	Placer	Tahoe-Truckee Unified	Truckee Elementary	96161	875819.0
141	1	All Students	All Students	31	66944	6031322	13	16.83	15.84	54.46	12.87	101.0	46.53	37.62	15.84	38.61	48.51	12.87	37.62	48.51	13.86	Placer	Tahoe-Truckee Unified	Truckee Elementary	96161	875819.0
142	1	All Students	All Students	31	66944	6113062	5	27.66	29.79	36.17	6.38	94.0	24.47	50.0	25.53	20.21	54.26	25.53	23.4	53.19	23.4	Placer	Tahoe-Truckee Unified	Glenshire Elementary	96161	875819.0
143	1	All Students	All Students	31	66944	6113062	13	27.66	29.79	36.17	6.38	94.0	24.47	50.0	25.53	20.21	54.26	25.53	23.4	53.19	23.4	Placer	Tahoe-Truckee Unified	Glenshire Elementary	96161	875819.0
146	1	All Students	All Students	32	66969	3235603	8	4.88	17.07	65.85	12.2	41.0	30.0	65.0	5.0	40.0	50.0	10.0	45.0	45.0	10.0	Plumas	Plumas Unified	Portola Junior/Senior High	96122	1283357.0
148	1	All Students	All Students	32	66969	3235603	13	7.14	16.67	64.29	11.9	42.0	29.27	63.41	7.32	39.02	48.78	12.2	43.9	46.34	9.76	Plumas	Plumas Unified	Portola Junior/Senior High	96122	1283357.0
149	1	All Students	All Students	32	66969	6110308	5	3.17	15.87	57.14	23.81	63.0	52.38	39.68	7.94	52.38	46.03	1.59	57.14	34.92	7.94	Plumas	Plumas Unified	C. Roy Carmichael Elementary	96122	1283357.0
150	1	All Students	All Students	32	66969	6110308	13	3.17	15.87	57.14	23.81	63.0	52.38	39.68	7.94	52.38	46.03	1.59	57.14	34.92	7.94	Plumas	Plumas Unified	C. Roy Carmichael Elementary	96122	1283357.0
151	1	All Students	All Students	32	66969	3232006	8	6.9	31.03	51.72	10.34	29.0	31.03	55.17	13.79	27.59	58.62	13.79	34.48	51.72	13.79	Plumas	Plumas Unified	Chester Junior/Senior High	96020	987618.0
153	1	All Students	All Students	32	66969	3232006	13	6.9	31.03	51.72	10.34	29.0	31.03	55.17	13.79	27.59	58.62	13.79	34.48	51.72	13.79	Plumas	Plumas Unified	Chester Junior/Senior High	96020	987618.0
154	1	All Students	All Students	32	66969	6031413	5	8.0	36.0	44.0	12.0	25.0	28.0	64.0	8.0	40.0	52.0	8.0	32.0	52.0	16.0	Plumas	Plumas Unified	Chester Elementary	96020	987618.0
155	1	All Students	All Students	32	66969	6031413	13	8.0	36.0	44.0	12.0	25.0	28.0	64.0	8.0	40.0	52.0	8.0	32.0	52.0	16.0	Plumas	Plumas Unified	Chester Elementary	96020	987618.0
158	1	All Students	All Students	45	10454	132647	12	0.0	27.27	54.55	18.18	11.0	36.36	63.64	0.0	36.36	63.64	0.0	18.18	63.64	18.18	Shasta	Shasta County Office of Education	Shasta County Independent Study Charter	96001	654232.0
159	1	All Students	All Students	45	10454	132647	13	0.0	18.75	62.5	18.75	16.0	37.5	62.5	0.0	50.0	50.0	0.0	37.5	50.0	12.5	Shasta	Shasta County Office of Education	Shasta County Independent Study Charter	96001	654232.0
164	1	All Students	All Students	45	70003	6050330	5	18.31	36.62	42.25	2.82	71.0	18.31	63.38	18.31	22.54	54.93	22.54	19.72	60.56	19.72	Shasta	Grant Elementary	Grant Elementary	96001	654232.0
165	1	All Students	All Students	45	70003	6050330	8	12.07	32.76	46.55	8.62	58.0	29.31	55.17	15.52	29.31	50.0	20.69	32.76	43.1	24.14	Shasta	Grant Elementary	Grant Elementary	96001	654232.0
166	1	All Students	All Students	45	70003	6050330	13	15.5	34.88	44.19	5.43	129.0	23.26	59.69	17.05	25.58	52.71	21.71	25.58	52.71	21.71	Shasta	Grant Elementary	Grant Elementary	96001	654232.0
169	1	All Students	All Students	45	70110	135889	11	0.0	30.77	61.54	7.69	13.0	23.08	76.92	0.0	15.38	84.62	0.0	0.0	92.31	7.69	Shasta	Redding Elementary	Stellar Charter	96001	654232.0
171	1	All Students	All Students	45	70110	135889	13	12.82	30.77	53.85	2.56	39.0	28.21	66.67	5.13	15.38	71.79	12.82	7.69	76.92	15.38	Shasta	Redding Elementary	Stellar Charter	96001	654232.0
175	1	All Students	All Students	45	70110	6050462	5	11.11	22.22	60.0	6.67	45.0	40.0	53.33	6.67	42.22	40.0	17.78	37.78	55.56	6.67	Shasta	Redding Elementary	Bonny View Elementary	96001	654232.0
176	1	All Students	All Students	45	70110	6050462	13	11.11	22.22	60.0	6.67	45.0	40.0	53.33	6.67	42.22	40.0	17.78	37.78	55.56	6.67	Shasta	Redding Elementary	Bonny View Elementary	96001	654232.0
177	1	All Students	All Students	45	70110	6050470	5	0.0	28.57	57.14	14.29	28.0	39.29	53.57	7.14	42.86	50.0	7.14	46.43	53.57	0.0	Shasta	Redding Elementary	Cypress Elementary	96001	654232.0
178	1	All Students	All Students	45	70110	6050470	13	0.0	28.57	57.14	14.29	28.0	39.29	53.57	7.14	42.86	50.0	7.14	46.43	53.57	0.0	Shasta	Redding Elementary	Cypress Elementary	96001	654232.0
179	1	All Students	All Students	45	70110	6050488	5	0.0	36.36	45.45	18.18	22.0	27.27	59.09	13.64	54.55	36.36	9.09	40.91	59.09	0.0	Shasta	Redding Elementary	Juniper	96001	654232.0
180	1	All Students	All Students	45	70110	6050488	8	0.0	7.69	53.85	38.46	13.0	46.15	53.85	0.0	76.92	23.08	0.0	76.92	15.38	7.69	Shasta	Redding Elementary	Juniper	96001	654232.0
181	1	All Students	All Students	45	70110	6050488	13	0.0	25.71	48.57	25.71	35.0	34.29	57.14	8.57	62.86	31.43	5.71	54.29	42.86	2.86	Shasta	Redding Elementary	Juniper	96001	654232.0
182	1	All Students	All Students	45	70110	6050512	5	9.9	32.67	41.58	15.84	101.0	35.64	49.5	14.85	35.64	47.52	16.83	42.57	43.56	13.86	Shasta	Redding Elementary	Manzanita Elementary	96001	654232.0
183	1	All Students	All Students	45	70110	6050512	13	9.9	32.67	41.58	15.84	101.0	35.64	49.5	14.85	35.64	47.52	16.83	42.57	43.56	13.86	Shasta	Redding Elementary	Manzanita Elementary	96001	654232.0
